Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Mon Oct 09 09:52:18 EDT 2017,Game #12,"[Six of Hearts (6), Nine of Diamonds (9), Two of Diamonds (2), Queen of Diamonds (10)]",27,"[Queen of Clubs (10), Eight of Spades (8)]",18,Player Bust!,07:05
Mon Oct 09 09:52:27 EDT 2017,Game #13,"[Four of Spades (4), Six of Diamonds (6), Five of Clubs (5), Queen of Hearts (10)]",25,"[Eight of Hearts (8), Four of Clubs (4), Ace of Clubs (11)]",13,Player Bust!,07:06
Mon Oct 09 09:52:52 EDT 2017,Game #14,"[Seven of Diamonds (7), Ace of Diamonds (11), Eight of Hearts (8), Seven of Clubs (7)]",23,"[Two of Clubs (2), Two of Spades (2), Queen of Spades (10)]",14,Player Bust!,07:07
Mon Oct 09 09:52:57 EDT 2017,Game #15,"[Queen of Hearts (10), Six of Hearts (6), Three of Diamonds (3)]",19,"[Five of Clubs (5), Ace of Diamonds (11), Nine of Diamonds (9), Seven of Diamonds (7)]",22,Dealer Bust!,08:07
Mon Oct 09 09:53:13 EDT 2017,Game #16,"[Eight of Clubs (8), Seven of Clubs (7), Four of Diamonds (4)]",19,"[Six of Hearts (6), Ten of Hearts (10), Three of Spades (3)]",19,Tie!,09:07
Mon Oct 09 09:53:20 EDT 2017,Game #17,"[Ten of Hearts (10), Five of Diamonds (5), Three of Diamonds (3), Six of Spades (6)]",24,"[Jack of Diamonds (10), Queen of Clubs (10)]",20,Player Bust!,09:08
Mon Oct 09 09:53:30 EDT 2017,Game #18,"[Queen of Hearts (10), Three of Clubs (3), Six of Diamonds (6)]",19,"[Three of Spades (3), Ten of Diamonds (10), Ten of Hearts (10)]",23,Dealer Bust!,10:08
Mon Oct 09 09:53:35 EDT 2017,Game #19,"[Five of Diamonds (5), Six of Spades (6), Eight of Hearts (8)]",19,"[Six of Diamonds (6), Ace of Diamonds (11)]",17,Player Wins!,11:08
Mon Oct 09 09:53:37 EDT 2017,Game #20,"[Seven of Diamonds (7), Six of Hearts (6), Jack of Hearts (10)]",23,"[Four of Diamonds (4), Seven of Diamonds (7)]",11,Player Bust!,11:09
Mon Oct 09 09:53:43 EDT 2017,Game #21,"[Ace of Hearts (11), Ace of Clubs (11), Eight of Hearts (8)]",20,"[Jack of Clubs (10), Seven of Spades (7)]",17,Player Wins!,12:09
Mon Oct 09 09:54:21 EDT 2017,Game #22,"[Five of Spades (5), Ten of Hearts (10), Three of Diamonds (3), Six of Spades (6)]",24,"[Five of Clubs (5), Eight of Hearts (8), Ten of Diamonds (10)]",23,Player Bust!,12:10
Mon Oct 09 09:54:25 EDT 2017,Game #23,"[Six of Hearts (6), Six of Spades (6), Nine of Clubs (9)]",21,"[Four of Clubs (4), Queen of Spades (10)]",14,Player 21!,13:10
Mon Oct 09 09:54:32 EDT 2017,Game #24,"[Three of Clubs (3), Ace of Spades (11), Queen of Clubs (10), Seven of Clubs (7)]",21,"[Queen of Clubs (10), Four of Hearts (4), Queen of Spades (10)]",24,Player 21!,14:10
Mon Oct 09 09:54:39 EDT 2017,Game #25,"[Queen of Hearts (10), Jack of Diamonds (10)]",20,"[Four of Spades (4), Eight of Hearts (8), Nine of Hearts (9)]",21,Dealer 21!,14:11
Mon Oct 09 09:54:45 EDT 2017,Game #26,"[Eight of Hearts (8), Six of Spades (6), Six of Hearts (6)]",20,"[Ten of Spades (10), Queen of Clubs (10)]",20,Tie!,15:11
Mon Oct 09 09:55:42 EDT 2017,Game #27,"[Two of Hearts (2), Three of Hearts (3), Three of Spades (3), Nine of Clubs (9)]",17,"[Two of Diamonds (2), Three of Clubs (3), Three of Diamonds (3), Eight of Diamonds (8), Ten of Diamonds (10)]",26,Dealer Bust!,16:11
Mon Oct 09 09:55:51 EDT 2017,Game #28,"[Four of Diamonds (4), Eight of Hearts (8), Nine of Clubs (9)]",21,"[Queen of Diamonds (10), Seven of Clubs (7)]",17,Player 21!,17:11
Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Mon Oct 09 09:58:01 EDT 2017,Game #0,"[Ten of Hearts (10), Five of Clubs (5)]",15,"[Seven of Clubs (7), Five of Spades (5)]",12,null,00:00
